exp,regime,seed,direct,margin,decouple,drawdown,client_defaults,cm_defaults,nbcm_defaults,deepest_waterfall,mutualised_l3,survivor_l4,total_df,ccp_cash_used,client_loss_absorbed,im_mean,im_peak
H1,calm,82,False,reactive,False,-5.378973105134477,0,0,0,0,False,False,13969747687.500002,0.0,0.0,17564681990.52,20804155200.0
H1,calm,83,False,reactive,False,-5.386591530620699,0,0,0,0,False,False,13320329244.750002,0.0,0.0,18216325710.864,20326279896.0
H1,calm,84,False,reactive,False,-5.361952513156254,0,0,0,0,False,False,12280870255.500002,0.0,0.0,18314665879.698,21047919462.0
H1,calm,85,False,reactive,False,-5.369794903666869,0,0,0,0,False,False,13522030755.750002,0.0,0.0,18235036939.572,21078470952.0
H1,calm,86,False,reactive,False,-5.357586806994286,0,0,0,0,False,False,15394661951.625002,0.0,0.0,18018586958.346,22263118956.0
H1,calm,87,False,reactive,False,-5.3623969168289705,0,0,0,0,False,False,16386552369.000002,0.0,0.0,17984470462.524,20789583696.0
H1,calm,88,False,reactive,False,-5.357586806994286,0,0,0,0,False,False,14036562317.250002,0.0,0.0,18447140584.944,20547979137.0
H1,calm,89,False,reactive,False,-5.3623969168289705,0,0,0,0,False,False,12470009272.875002,0.0,0.0,16747875670.248,19865052585.0
H1,calm,90,False,reactive,False,-5.3623969168289705,0,0,0,0,False,False,13152994074.000002,0.0,0.0,18124318461.762,20910593088.0
H1,calm,91,False,reactive,False,-5.361508183136521,0,0,0,0,False,False,17644197705.75,0.0,0.0,21351268730.268,23957171955.0
H1,calm,92,False,reactive,False,-5.320074580484768,0,0,0,0,False,False,13030402584.375002,0.0,0.0,17754542161.2,19965305178.0
H1,calm,93,False,reactive,False,-5.316151487527964,0,0,0,0,False,False,12894879974.625002,0.0,0.0,18144090620.136,20638171485.0
H1,calm,94,False,reactive,False,-5.3905117049927505,0,0,0,0,False,False,13938917899.500002,0.0,0.0,17881227710.1,21184025940.0
H1,calm,95,False,reactive,False,-5.336648021545476,0,0,0,0,False,False,12626725047.750002,0.0,0.0,19694256933.294,22591305900.0
H1,calm,96,False,reactive,False,-5.373938263932054,0,0,0,0,False,False,17864256427.875,0.0,0.0,19592896634.604,22438052325.0
